# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.1720,0.6430,-0.8960,0.1140,-0.3880,0.7690,0.4120,0.2250,-0.0090,-1.5540,-0.8140,-0.4510,0.3470,0.1870,-0.1400,-0.3280
2.2810,-0.7280,-0.9250,-0.7600,-0.9380,0.2330,0.5210,-0.0360,-0.2740,-0.3010,-1.1350,1.6990,-0.3220,-0.2530,-0.3850,-0.7280
-1.0290,-0.7220,-0.7250,-0.6060,1.0790,0.3680,-0.4820,0.4890,-0.1040,-0.4100,-0.7400,0.7590,-0.5620,0.9550,-0.4880,-0.5820
-0.4440,-0.0760,-0.0220,0.6180,-0.2690,-0.9170,-1.6820,0.3690,-0.9080,-0.3070,-0.1710,-1.5000,0.7850,-0.8980,0.3470,0.3750
-1.1090,-0.5270,-0.0190,-0.8090,-1.1180,-0.6490,-0.6510,-0.8990,0.1930,-0.3200,-0.2520,-1.5730,-0.1940,1.5540,-0.6240,-0.3330
0.2070,0.9020,-0.0930,-1.0550,-0.6970,2.5710,0.2990,-1.2820,1.5420,-1.0450,-1.2830,3.6090,-1.7560,-1.2230,-0.4740,0.9350
0.2000,0.9910,-0.4000,-1.3070,-0.8170,0.0130,1.9830,-1.3040,-0.7490,0.3400,0.5640,0.1270,-0.6540,-0.6060,-0.1720,0.2960
-0.6260,-0.2320,-0.3040,0.6340,-0.6200,-0.7840,-1.6850,-0.2710,0.2230,-0.1150,0.0710,-0.6310,1.2940,-1.2130,-0.0530,-0.3050
0.0450,0.4360,0.6330,-0.3490,-0.0750,0.0590,-0.7690,-0.2060,-0.2530,0.6920,-0.1460,0.1090,-0.3840,-0.3250,-0.1090,0.7570
-1.3160,-0.8600,-0.2370,0.2130,0.1300,-0.2900,0.2670,0.4760,0.2050,-1.7200,-0.4710,-1.1360,0.0250,-0.2170,0.5710,-0.2080
-1.0520,-0.7900,-0.4080,-0.6020,0.3600,-0.7310,-0.0080,-0.0180,-0.4310,0.0950,-0.4950,-1.2140,0.6710,0.1750,0.3110,-0.9150
-2.2300,-0.0200,-inf,-inf,-1.7180,5.8600,-1.9790,-2.3040,-0.0650,-0.2190,-1.3050,-inf,-1.2520,-0.9620,-0.9110,0.2750
-0.4820,-0.4210,-0.0500,1.0580,0.4540,-0.7110,-1.3240,0.6670,-0.7000,-0.4940,0.7780,-1.5020,-0.0050,-0.5910,0.3070,-0.5970
-0.2930,0.4950,0.6290,-0.6560,0.0710,-0.4910,0.3470,-0.9700,0.6940,0.5000,0.1060,-1.1670,-0.3510,-0.7720,-0.2470,0.0820
-0.3960,-0.0020,0.3050,0.0460,-0.2040,-0.2520,-0.2350,0.0730,0.0690,0.1770,0.4160,-0.3540,-0.2680,-0.5660,0.3050,0.5150
-0.9700,-0.4920,-0.2000,0.1790,0.2120,0.4020,0.3570,0.4060,-0.1940,0.7780,-1.1580,0.0630,-0.3610,-0.4340,0.5350,0.1360
