,Spearman_allwords,Spearman_dependents,bkpsl,class,dlg,id,ldep,lm,pmi_adjacent,pmi_neardep,wtembdep
0,-0.094785767,-0.0,-2.91699103,0.0,12.0,cf01.1.1,-18.0,-3.055,-0.0,-0.0,-2640.1795079999997
1,0.05032159700000005,0.0,2.853967274,1.0,-3.0,cf01.2.1,-26.0,5.043,0.0,0.0,1295.231477
2,0.38950787200000003,-0.0,-6.367884953,0.0,9.0,cf01.3.1,0.0,-3.384,-0.0,-0.0,-3330.87634
3,0.08264675400000002,0.0,-2.731841718,1.0,-4.0,cf01.4.1,0.0,-2.7119999999999997,0.0,0.0,-2007.9130420000001
4,0.023997554,-0.13397459599999995,0.761620805,0.0,1.0,cf01.6.1,-44.0,0.9926,-0.0,-0.0,612.1313152
5,0.0,0.0,1.8845772509999998,1.0,4.0,cf01.7.1,-19.0,-4.087,0.0,0.0,-1492.8477269999998
6,-0.0,-0.0,-0.21145748,0.0,1.0,cf01.8.1,3.0,-0.5539999999999999,-0.0,-0.0,-1917.774148
7,0.0019524879999999953,0.0,-1.4447170130000002,1.0,-1.0,cf01.8.2,26.0,-3.929,0.0,0.0,-4167.906961
8,-0.117149253,-0.0,-14.1477584,0.0,16.0,cf01.8.3,-18.0,-8.952,-0.0,-0.0,-6797.493484999999
9,0.013797578999999997,0.0,1.345259264,1.0,1.0,cf01.8.4,-17.0,1.038,0.0,0.0,-602.4481311000001
10,-0.391025454,-0.0,0.414755327,0.0,12.0,cf01.11.1,-56.0,-2.7181,-0.0,-0.0,680.298446
11,0.07258753500000001,0.866025404,-0.67803184,1.0,-8.0,cf01.14.1,-45.0,3.2086,3.391726543,3.391726543,4647.739679
12,-0.0,-0.0,-1.9283830000000002,0.0,0.0,cf01.16.1,22.0,-4.3338,-0.0,-0.0,-1374.0708960000002
13,0.0,0.0,0.99626375,1.0,0.0,cf01.16.2,-24.0,7.7585,0.0,0.0,219.5208694
14,-0.0,-0.0,-3.268392973,0.0,0.0,cf01.16.3,3.0,-6.1785,-0.0,-0.0,41.94535619
15,0.0,0.0,1.8600558969999998,1.0,0.0,cf01.16.4,-20.0,-0.8849,0.0,-0.19279274600000007,-510.70190189999994
