,Spearman_allwords,Spearman_dependents,bkpsl,class,dlg,id,ldep,lm,pmi_adjacent,pmi_neardep,wtembdep
0,-0.0,-0.0,-6.2131748689999995,0.0,-1.0,wsj_0003.1.1,10.0,-2.8864,0.3014432717507561,-0.0,-368.10794889999994
1,0.0,0.0,-2.629474732,1.0,-1.0,wsj_0003.2.1,86.0,-1.0036,0.0,0.0,-150.0088075
2,-0.0,-0.0,-6.228870799,0.0,-1.0,wsj_0003.2.2,-15.0,-3.1239999999999997,0.3014432717507561,-0.0,-62.39896492
3,0.39587731928506764,0.0,0.402135376,1.0,3.0,wsj_0003.3.1,20.0,0.0169,0.0,0.0,-15.21984213
4,0.15383048736034627,-0.0,-2.434554985,0.0,4.0,wsj_0003.4.1,2.0,-0.8876,-0.0,-0.0,553.112604
5,-0.20291986247835692,-1.0,-1.201414461,1.0,1.0,wsj_0003.7.1,0.0,1.3962,0.0,0.0,110.61276170000001
6,0.18257418583505536,-0.0,-2.8483485280000003,0.0,9.0,wsj_0003.9.1,10.0,-0.6449,0.4059234988068319,-0.0,-987.9583742999998
7,0.07526178090063823,0.0,0.239308406,1.0,3.0,wsj_0003.11.1,4.0,0.9766,0.0,0.0,881.0576618999999
8,-1.0,-0.0,-5.883353082,0.0,-1.0,wsj_0003.12.1,3.0,-4.0459,-4.9727186292223164,-0.0,-51.9519691
9,1.0,0.0,6.219136084,1.0,1.0,wsj_0003.15.1,2.0,1.001,4.9727186292223164,0.0,108.2577152
10,-0.0,-0.0,0.598381925,0.0,1.0,wsj_0003.16.1,0.0,-0.0873,0.4059234988068319,-0.0,-312.97451010000003
11,0.0,0.0,7.7504356329999995,1.0,0.0,wsj_0003.17.1,0.0,4.1716,-0.7015686690256969,0.0,492.99122819999997
12,-0.0,-0.0,-3.485515392,0.0,-1.0,wsj_0003.19.1,-15.0,0.889,-0.4059234988068319,-0.0,110.01713429999998
13,0.0,0.0,3.8535326569999997,1.0,1.0,wsj_0003.21.1,0.0,-1.6072,0.4059234988068319,0.0,135.8179865
14,-1.0285714285714287,-0.0,-3.540452492,0.0,-1.0,wsj_0003.24.1,0.0,-3.5378,-0.0,-0.0,-47.93547383
15,-0.20046638077212003,0.0,7.882771657,1.0,-11.0,wsj_0003.27.1,0.0,3.0585,0.0,0.0,588.4165579
16,-0.2288310214189421,-0.0,-6.855246759,0.0,11.0,wsj_0003.28.1,2.0,-0.0866,0.4059234988068319,-0.0,-2456.653107
17,-0.16205026009977092,-1.0,2.83990898,1.0,-1.0,wsj_0004.4.1,5.0,3.9434,-3.7867838504625104,-3.7867838504625104,16.9797565
18,1.063316090243702,1.0,-6.69238217,0.0,2.0,wsj_0004.4.2,19.0,-4.3201,3.3893321786337594,3.3893321786337594,-440.3185408
19,-0.5660659770608435,0.5,5.139405036,1.0,1.0,wsj_0004.4.3,-27.0,0.2956,0.0,0.0,-122.91947920000001
20,0.9012658301439311,-0.0,-3.657997136,0.0,0.0,wsj_0004.4.4,0.0,-0.71,3.3893321786337594,3.3893321786337594,240.6600374
21,-0.4972501131828586,-1.5,2.159900628,1.0,-2.0,wsj_0004.4.5,-6.0,-0.9602,-3.7867838504625104,-3.7867838504625104,79.87157022
22,-0.3774957929858835,-0.0,-4.725390556,0.0,9.0,wsj_0004.5.1,-5.0,-4.3953,-0.0,-0.0,-101.0132115
23,-0.2576163670954353,0.0,3.850075525,1.0,-5.0,wsj_0004.6.1,-1.0,0.669,0.0,0.0,-15.7863883
24,-0.0,-0.0,-1.9353870830000002,0.0,5.0,wsj_0004.7.1,10.0,-6.8211,-0.0,-0.0,-761.7511407000001
25,0.10888616646749916,0.0,5.1877338889999995,1.0,-3.0,wsj_0004.8.1,-3.0,2.2748,0.0,0.0,1884.481166
26,-0.009067260144310252,-0.0,-2.839338348,0.0,0.0,wsj_0004.8.2,52.0,-2.447,-0.0,-0.0,-185.41424990000002
27,1.091698121374965,0.0,5.726351019,1.0,-9.0,wsj_0004.8.3,-50.0,4.2048,0.0,0.0,376.0163898
28,-0.7797843724106892,-0.0,-3.448250865,0.0,6.0,wsj_0004.8.4,27.0,-2.9581,-0.0,-0.0,-981.1299493999999
29,1.0191600402204823,0.0,7.74465889,1.0,-8.0,wsj_0004.8.5,-24.0,0.8825,0.0,0.0,286.2369361
30,-0.33911552939720674,-0.0,-3.542058664,0.0,4.0,wsj_0004.8.6,27.0,-1.3025,-0.0,-0.0,-249.4756367
31,-0.12049067317796996,0.0,2.8263397,1.0,-1.0,wsj_0004.11.1,-3.0,0.3845,0.0,0.0,29.7421696
32,0.7952384429746019,1.7320508075688774,1.511856355,0.0,0.0,wsj_0004.11.2,2.0,0.4568,3.7867838504625104,3.7867838504625104,9.022650601
33,-0.40966828880509787,-0.8660254037844387,-1.401000094,1.0,1.0,wsj_0004.11.3,6.0,-1.8625,0.0,0.0,-64.94405587
