# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
-1.2600,2.1900,-1.2350,-inf,-1.2850,-inf,-0.9920,-0.2290,-inf,0.2450,-1.1420,-0.5560,-0.2590,-2.0540,-2.7400,-inf,-0.1870,1.4980,-0.3490,-0.0260,-0.7240,-inf,-0.9590,-inf,0.2110,-2.9430,-1.9660,-0.2550,2.7090,0.8510,0.9550,-1.3630,-1.3750,0.3790,-0.7240,0.4270,1.0060,-0.7550,-0.7140,-0.5150,-0.7870,-1.0850,0.0010,-inf,-1.6650,0.6880,-1.5690,-2.0820,-inf,-2.5470,0.9130,-1.1450,-inf,-0.5600,-0.1980,1.0460,-3.0580,-inf,-inf,-0.1590,0.8420,-0.2420,-inf,-inf,-0.7270,-2.1230,-0.0010,-1.9450,-0.7310,-1.5680,-1.6270,0.1470,-2.2500,-1.3190,-inf,1.3210,0.4030,-inf,-1.7190,-1.5640,-inf,-0.0590,-1.3480,0.5450,-1.3920,1.4310,-1.3670,4.0180,-0.7500,1.6610,-1.4380,-1.5650,-0.7540,-0.5710,-0.7390,1.7860,0.3210,-1.2830,-0.6100,-0.1980,-inf,0.8920,2.1290,-inf,-2.2000,-1.6410,-inf,-1.2800,0.0440,-0.4980,-inf,0.4790,-0.4460,-1.8020,-1.1130,0.3920,1.5050,-1.5260,-1.5710,1.0520,0.2110,-0.8000,-0.4570,-inf,-1.7890,0.7890,-1.3120,-1.9150
1.8970,0.7760,-0.5700,-0.7630,-1.0360,0.7010,-1.2280,-0.2030,-1.3630,1.6780,2.0610,-inf,-1.3310,-0.4820,-inf,-inf,-0.6160,-inf,0.6780,-0.1920,-1.4740,0.2930,-0.1250,-inf,0.9460,-0.3720,-2.7170,-inf,0.1060,-0.4840,-0.3810,0.1090,-inf,-0.1790,-inf,-0.0610,-inf,-1.5050,-1.4640,0.2490,-3.3450,-1.8360,-1.3350,-0.4250,0.1690,-inf,-2.3200,-0.8330,-inf,-0.7130,-inf,-1.8960,-inf,-0.5740,0.7880,0.5940,-1.8090,-inf,0.4000,0.3540,-0.7830,-0.3150,0.3370,0.1240,-1.4780,-0.2890,-0.5590,-0.6950,-0.0670,0.2670,-0.3780,0.3960,-1.0010,1.2520,-inf,-inf,1.6520,0.8650,-0.4690,1.2700,-inf,0.6050,-0.0990,0.7950,-1.1430,-0.9050,-1.1180,0.6590,-1.5010,2.0680,-0.1890,0.2690,1.0810,0.6780,-1.8120,-0.5500,-inf,0.5520,-inf,-1.9490,-1.7880,-inf,0.0560,-inf,0.0490,-inf,1.3280,-1.0310,0.2930,-0.9850,-0.0960,0.4060,0.3880,-inf,1.1360,-0.3590,0.1690,2.2470,0.2630,1.3010,1.9190,-1.8730,-0.6220,-1.0010,-inf,2.2610,-2.0630,-0.6660
-1.9180,-0.7170,-0.8930,0.9140,-0.9430,-0.7920,0.4490,0.6270,0.4300,-0.7030,0.2860,0.1070,0.2200,2.4680,-1.8140,-inf,-1.0380,0.8390,-2.2300,-2.6850,-0.0600,0.9700,0.1900,-0.1210,-1.1840,-0.6020,-inf,0.0860,-0.8020,-1.3920,1.2970,0.2010,-inf,-0.5020,-1.3820,0.3540,-0.2370,0.6460,-inf,0.1890,-0.6680,-1.1580,-0.4360,-0.9180,0.4830,0.0300,-2.2280,0.2590,0.3180,-3.2050,-1.7460,0.0040,-inf,-0.9960,-1.4420,-2.3130,-0.0160,-inf,-inf,-0.8170,-1.2760,0.3630,0.2360,-1.3690,-0.3860,-0.4600,0.6200,0.9820,0.7250,-inf,-3.8710,0.7110,0.6760,0.0230,-1.7970,-inf,-0.2550,0.1270,-0.5700,0.1000,0.4080,-0.1330,0.3150,0.0800,0.7560,1.6470,-2.0250,-1.5710,-0.2930,-0.5280,0.9030,-0.2240,-1.4120,0.7700,2.6200,-inf,1.2470,-0.1340,-1.0050,-1.5350,-1.6950,0.2330,0.7330,-inf,-1.8590,0.2860,-inf,-0.7690,0.3850,-1.4780,-1.0040,0.3060,-0.5200,-0.8760,0.2280,-0.6820,-2.3240,-0.3770,0.5770,-inf,-0.1260,0.0270,-0.5300,-0.9090,-1.4480,-0.8690,0.1990,-0.9890
0.6250,-1.1740,0.3870,2.6800,0.1850,0.7510,-0.5930,2.8020,-0.1420,-1.3300,-inf,-inf,-1.6960,-1.5840,0.1440,1.3670,-1.3030,-inf,0.8980,-1.1410,-0.2540,-inf,-inf,1.7440,-1.2260,-2.0590,-inf,-inf,-0.4290,0.1510,-inf,-1.0630,-inf,-1.5430,-0.8390,-0.0100,0.3060,1.7150,0.1710,-0.1160,-1.1250,-inf,0.3000,-inf,-0.7810,-0.7490,-0.1000,-inf,-inf,1.6600,2.3820,-1.2600,2.3820,0.0610,0.1020,-0.1850,0.8260,-inf,-inf,0.7260,-1.7330,-inf,-1.0280,0.7590,3.4790,-1.2390,1.9830,-0.0600,-0.4320,-0.6830,-0.7430,-inf,-0.3660,-0.4340,-inf,-inf,-0.8820,-inf,-0.2490,-inf,-inf,0.2400,-0.0480,0.2080,-inf,-inf,-inf,-0.4430,-0.4510,-inf,-inf,1.1940,-0.8690,-inf,0.1450,1.0860,-inf,-1.3980,-1.0470,-0.7290,1.1700,-inf,-0.3090,-inf,0.2690,-0.7560,-inf,-1.3960,0.9280,-inf,0.5390,-inf,0.4380,-inf,-inf,0.8610,-0.7810,0.9440,0.3130,0.3510,-inf,-2.2380,-0.5720,-0.3660,2.2650,0.0890,-1.4270,-1.0310
-2.1060,0.4170,-0.6660,0.1410,-0.1310,-0.9800,-1.6450,0.1170,-0.8730,-0.7390,-1.4040,-0.4030,2.3280,-0.7300,-2.5870,-inf,-2.0340,-inf,-0.1950,0.1280,-0.9850,-inf,-0.2200,-1.3090,-1.9570,0.7950,0.1870,-0.1010,-3.1600,-0.5800,0.5240,0.0130,-inf,-1.2740,1.0150,-0.1560,0.5750,-1.6010,0.0250,-0.1680,-1.4410,1.5280,-0.8460,1.8010,-1.5120,-1.4800,-0.4160,-1.9290,-inf,-inf,-inf,0.4680,-inf,0.0090,0.3710,-1.5010,-0.5830,-inf,-inf,-2.3270,-1.4640,-inf,-inf,0.0280,-1.5730,0.0300,-1.0700,-0.2060,-0.5780,-inf,2.7740,0.7150,-2.0970,1.4200,-0.9850,-inf,-0.2910,1.2290,0.0200,0.5900,1.2210,-0.1690,-0.4580,0.2140,-inf,-1.0000,0.3720,-0.4370,-1.5970,0.6990,-0.2850,-0.9960,0.4000,0.5820,-0.3220,-1.6450,0.4740,-0.5440,-0.4560,-0.0440,-0.2980,1.0450,-0.0400,-inf,0.7600,-0.4870,0.2320,-0.3190,-inf,0.1410,0.3930,1.3110,0.2920,-inf,0.0400,-1.4550,1.9480,-0.7870,0.1670,0.6200,-0.6360,1.3530,-2.3030,0.4880,2.6120,0.3580,1.0110,-0.1770
-inf,-inf,-1.7960,0.0110,0.7380,-inf,-0.7760,-0.0140,-0.0040,1.2680,0.2030,-inf,-0.5570,-0.0300,-0.7170,2.5050,-2.1640,-inf,0.4520,-0.0030,-0.1150,-inf,-inf,-inf,-0.0870,-0.9200,-1.9430,-inf,0.5180,0.2900,-inf,-0.3390,-inf,0.5950,-0.7000,1.1290,1.4450,0.0060,-inf,1.1610,-0.9860,-inf,0.7610,-inf,-inf,-0.6100,-1.5460,-inf,-inf,-0.5230,-0.0640,0.2000,-inf,0.2000,0.2400,-0.6310,-0.4500,-inf,-inf,0.5430,0.9910,-0.5400,-inf,-0.6870,-inf,0.2220,-0.2000,0.0790,-inf,-0.5440,-1.1890,0.1700,0.3580,0.7050,0.8850,2.3440,-1.7430,-0.3610,0.8900,-inf,-inf,-0.6210,0.4120,1.3460,1.6310,-0.1300,-inf,0.1110,-2.3120,-1.0160,0.5850,-1.1270,-0.7300,1.4520,1.5470,-0.7760,-inf,0.3260,-0.3230,-2.1750,-inf,-inf,0.8300,-inf,-1.1770,-inf,2.6870,-0.6720,-inf,-0.7960,-inf,2.6400,0.5770,0.2210,-0.0900,-inf,1.3580,1.0830,2.4520,0.4900,-0.7660,-2.0990,1.3740,-inf,0.8190,2.5490,-1.2890,-0.8920
-1.3700,-0.6830,0.4490,-inf,-0.3950,-inf,-0.3240,-1.4690,-2.4590,-0.5600,-1.2530,3.1410,-1.6910,0.8720,-0.2660,1.0500,-1.2970,-inf,-0.1960,-0.2880,1.3990,-1.3880,2.9840,-1.8950,-1.2210,-0.9160,0.1870,-1.6870,-0.2860,-0.5810,-2.0620,-1.0580,3.8650,-0.5380,-0.3490,-0.8680,0.7960,-0.4500,-1.5610,-0.6670,-1.2190,-2.5170,-0.5570,-2.1070,3.1500,2.5190,0.1680,-3.5140,3.2450,-0.0720,1.0650,-0.8770,1.6500,-0.2550,-0.6300,-0.9170,-0.9060,-inf,0.3030,-0.9130,-1.2420,2.5740,-3.3450,-0.8200,-0.5740,-0.6490,-2.6560,-2.3770,-1.1640,2.7820,-0.5570,0.1290,0.4870,-1.1660,-0.9860,3.7950,-0.6140,-1.2310,-1.3440,-1.9960,0.3720,-1.0760,-1.7800,-2.1090,-1.2400,-inf,-0.2140,-1.1750,-0.2440,-0.7710,-0.5490,-0.4950,-1.1860,-2.0040,-1.3230,-1.2310,3.0580,-0.7150,-0.5560,-0.4600,-0.2990,-inf,-2.6250,3.5490,-1.3110,-0.4880,-2.3540,0.7790,-0.8030,-0.6670,0.0300,-0.2750,-1.8790,0.5730,-0.5460,-0.7190,-3.0980,0.2120,-1.4190,-inf,-0.9000,-0.5540,-1.8890,-1.0980,-0.6370,-2.2280,-1.1590,-2.3480
0.8190,-0.0790,0.3520,0.9670,-1.5280,1.2080,-0.9270,-1.0580,-0.1180,0.6570,-0.0640,-inf,-0.0870,-1.1820,-3.5690,1.6540,-0.0150,-inf,-0.8150,0.1460,-0.7450,-inf,-1.7870,0.0310,-0.3540,-0.3120,-0.2090,-inf,0.3820,0.4380,0.1270,-1.1910,-1.2040,-3.2560,-0.5520,-0.5530,-1.4070,1.0800,0.2650,0.7570,-1.6150,-0.1060,0.0470,-0.5030,-inf,-1.4620,0.0620,-0.5890,-inf,-1.0530,1.0840,-1.6510,-inf,0.0270,-0.0260,0.4240,-0.1860,3.8710,-inf,0.7780,0.1390,-0.5850,-0.1560,-0.5380,1.7670,-0.4920,-1.6370,-0.4510,-0.8230,-2.3960,0.0470,-0.0970,-1.4940,-1.1470,-0.9670,-inf,-0.1360,-0.6270,-0.5470,-0.3920,0.2390,-0.4730,-1.4390,0.9970,-1.2210,-1.9820,-inf,0.0670,0.5370,-0.4080,-2.2670,0.3440,0.2250,1.6000,0.2810,-1.0420,0.4920,0.5890,-0.0590,-0.4410,-0.5430,0.0640,1.3000,-inf,2.6150,-1.4690,-0.1650,-0.7870,-1.7840,-1.3260,0.1480,0.9140,-1.2750,-1.6310,0.6430,-0.4370,0.9660,1.2900,-0.8150,-1.3620,0.9670,1.7770,1.4160,-1.0790,0.3820,1.6240,0.4450,-1.7440
-0.6800,-0.8940,-0.2400,-inf,1.1020,-1.5540,-1.6340,-0.8720,-1.4470,-1.3130,-1.2410,-1.9760,0.4590,-1.1520,-0.5760,-inf,-1.0220,1.0770,-0.5760,-0.8610,-2.1440,-0.3760,-2.3790,-0.8830,-1.5310,-1.3630,1.8230,-0.6750,-2.1480,-0.1540,-1.0500,-1.7830,-inf,-0.8480,2.0260,-2.3150,-inf,-1.4380,-inf,-2.7420,3.8980,2.3530,-0.1970,2.2270,-2.0860,-inf,-0.9900,-2.5020,-inf,-0.6450,-1.5080,1.8940,-inf,-0.9800,-0.6180,-2.0750,-0.6710,-inf,-inf,-2.9010,-2.0370,-1.9840,3.6900,-0.5450,-1.1470,-1.2220,-2.2290,-2.3650,-1.1520,-0.9880,-0.0480,-0.8580,-inf,-inf,-1.5590,-inf,-3.1870,-0.8040,0.7680,-0.9840,-0.9380,-2.0640,-1.7680,-1.6820,0.5090,-0.5740,-0.7870,-1.3330,-2.1710,-1.1380,0.4630,-0.9850,-0.5890,-inf,-1.1590,-2.2190,-inf,-1.7030,-1.0300,0.2890,-2.4570,0.4720,-0.6130,-inf,-1.0360,1.3990,-1.3420,-1.3790,-inf,0.3450,-0.1800,-2.2630,0.1330,-1.2220,-inf,-2.0280,-2.0860,-0.9460,-1.9920,-inf,-2.2100,-1.9570,-1.8770,-inf,-inf,-inf,-1.7320,-0.3360
1.1590,0.8460,0.5250,-0.3300,-0.8660,1.1330,-1.3800,0.3820,0.5720,0.9690,0.0420,-0.4590,-1.4840,-0.5650,-1.3220,0.5790,-0.7680,1.5940,0.1100,0.0710,0.0740,-inf,-0.2770,-0.3660,0.8930,-0.3870,-0.8690,-0.1580,-0.4090,0.3630,-0.5330,-0.0430,-2.2790,-1.3310,-0.6270,-0.2130,0.1030,-0.7830,-1.6170,0.4190,-0.0380,-1.9880,0.2130,-2.1630,-0.9840,-1.5370,-0.8880,-1.9850,-0.9260,0.3570,0.3310,-2.0480,0.5940,-0.1410,0.7730,0.0270,0.0390,-inf,-0.7520,0.7040,0.1800,-1.1450,-2.8160,0.7090,1.0700,-0.0270,-0.3900,-1.8480,-1.6350,-1.4710,-0.9460,-0.0200,-2.1530,0.1000,0.9580,-inf,1.2840,0.0350,0.3780,0.5330,-inf,1.3600,-0.6660,-0.5800,-1.2960,-1.0570,-inf,0.5770,-0.3320,-1.3580,-0.3410,2.2320,1.4310,-1.4740,-0.5050,-0.7020,-inf,-2.1860,0.8660,-2.5160,0.5190,-inf,0.2260,-inf,-0.2960,-1.5440,0.1750,0.0640,-0.8590,0.2770,-0.6630,0.7130,0.8200,-2.7050,0.7910,-0.9260,-0.5690,1.2150,0.5260,1.1480,0.1150,-0.0250,-0.0380,0.1680,0.1150,-0.1140,-0.2150,0.1810
