,Spearman_allwords,bkpsl,class,dlg,id,ldep,lm,wtembdep
0,-0.0,-6.2131748689999995,0.0,-1.0,wsj_0003.1.1,10.0,-2.8864,-368.10794889999994
1,0.0,-2.629474732,1.0,-1.0,wsj_0003.2.1,86.0,-1.0036,-150.0088075
2,-0.0,-6.228870799,0.0,-1.0,wsj_0003.2.2,-15.0,-3.1239999999999997,-62.39896492
3,-0.19155354158954882,0.402135376,1.0,3.0,wsj_0003.3.1,20.0,0.0169,-15.21984213
4,-0.08594143149355118,-2.434554985,0.0,4.0,wsj_0003.4.1,2.0,-0.8876,553.112604
5,0.1449427589131121,-1.201414461,1.0,1.0,wsj_0003.7.1,0.0,1.3962,110.61276170000001
6,-0.02282177322938192,-2.8483485280000003,0.0,9.0,wsj_0003.9.1,10.0,-0.6449,-987.9583742999998
7,0.039024627133664225,0.239308406,1.0,3.0,wsj_0003.11.1,4.0,0.9766,881.0576618999999
8,1.0,-5.883353082,0.0,-1.0,wsj_0003.12.1,3.0,-4.0459,-51.9519691
9,-1.0,6.219136084,1.0,1.0,wsj_0003.15.1,2.0,1.001,108.2577152
10,-0.0,0.598381925,0.0,1.0,wsj_0003.16.1,0.0,-0.0873,-312.97451010000003
11,0.0,7.7504356329999995,1.0,0.0,wsj_0003.17.1,0.0,4.1716,492.99122819999997
12,-0.0,-3.485515392,0.0,-1.0,wsj_0003.19.1,-15.0,0.889,110.01713429999998
13,0.0,3.8535326569999997,1.0,1.0,wsj_0003.21.1,0.0,-1.6072,135.8179865
14,0.17142857142857146,-3.540452492,0.0,-1.0,wsj_0003.24.1,0.0,-3.5378,-47.93547383
15,0.06968082754111124,7.882771657,1.0,-11.0,wsj_0003.27.1,0.0,3.0585,588.4165579
16,0.05085133809309826,-6.855246759,0.0,11.0,wsj_0003.28.1,2.0,-0.0866,-2456.653107
17,0.29968198785574063,2.83990898,1.0,-1.0,wsj_0004.4.1,5.0,3.9434,16.9797565
18,-0.7658539689646706,-6.69238217,0.0,2.0,wsj_0004.4.2,19.0,-4.3201,-440.3185408
19,0.2064475916339547,5.139405036,1.0,1.0,wsj_0004.4.3,-27.0,0.2956,-122.91947920000001
20,-0.46617198110892993,-3.657997136,0.0,0.0,wsj_0004.4.4,0.0,-0.71,240.6600374
